Date,finbert_score,lm_score,CP,Returns,Signal_FinBERT,Signal_Dictionary,Strat_FinBERT,Strat_Dictionary,Cum_BuyHold,Cum_FinBERT,Cum_Dictionary,Strat_Combined
2008-01-03,0.8616265058517456,0.0,1447.16,0.0,-1,-1,-0.0,-0.0,0.0,-0.0,-0.0,0.0
2008-01-07,0.586566686630249,0.0,1416.18,-0.021639909300384126,1,-1,-0.021639909300384126,0.021639909300384126,-0.021639909300384126,-0.021639909300384126,0.021639909300384126,-0.021639909300384126
2008-01-09,-0.42169591784477234,-0.033333333333333326,1409.13,-0.004990613159191699,1,-1,-0.004990613159191699,0.004990613159191699,-0.026630522459575826,-0.026630522459575826,0.026630522459575826,-0.004990613159191699
2008-01-10,0.5423404574394226,0.0,1420.33,0.007916746302464807,-1,-1,-0.007916746302464807,-0.007916746302464807,-0.01871377615711102,-0.03454726876204063,0.01871377615711102,0.004770040246838659
2008-01-22,-0.6024327278137207,0.0,1310.5,-0.08048049519865468,1,-1,-0.08048049519865468,0.08048049519865468,-0.0991942713557657,-0.1150277639606953,0.0991942713557657,-0.08048049519865468
2008-01-29,-0.76662278175354,-0.125,1362.3,0.038765704008554155,-1,-1,-0.038765704008554155,-0.038765704008554155,-0.06042856734721154,-0.15379346796924948,0.06042856734721154,0.023732866797048172
2008-01-30,0.0,0.0,1355.81,-0.004775386083217739,-1,-1,0.004775386083217739,0.004775386083217739,-0.06520395343042928,-0.14901808188603174,0.06520395343042928,-0.002857920328729793
2008-02-01,0.0,-0.25,1395.42,0.028796383521422275,-1,-1,-0.028796383521422275,-0.028796383521422275,-0.03640756990900701,-0.17781446540745402,0.03640756990900701,0.01754013115650794
2008-02-05,-0.3080311417579651,-0.11428571428571428,1336.64,-0.04303644290140902,-1,-1,0.04303644290140902,0.04303644290140902,-0.07944401281041602,-0.134778022506045,0.07944401281041602,-0.025218968520209238
2008-02-11,-0.8901388943195343,-0.2857142857142857,1339.13,0.001861147048328348,-1,-1,-0.001861147048328348,-0.001861147048328348,-0.07758286576208767,-0.13663916955437336,0.07758286576208767,0.0011177958417297853
2008-02-21,0.0,0.0,1342.53,0.0025357441449195507,-1,-1,-0.0025357441449195507,-0.0025357441449195507,-0.07504712161716812,-0.1391749136992929,0.07504712161716812,0.0015235019995902292
2008-02-22,-0.44738253951072693,-0.0625,1353.11,0.007849753177005593,-1,-1,-0.007849753177005593,-0.007849753177005593,-0.06719736844016252,-0.1470246668762985,0.06719736844016252,0.004729507970636059
